id,views,likes,shares,duration,description,url
g0oIHvQ08Wc,17,7,N/A,44,,https://www.youtube.com/shorts/g0oIHvQ08Wc
NK0iSmVFET0,446,25,N/A,59,1 vs 5 ниндзя дефюз анубис 😎😎😎😎😎,https://www.youtube.com/shorts/NK0iSmVFET0
RO9rrztmsN8,4,4,N/A,29,,https://www.youtube.com/shorts/RO9rrztmsN8
e27SAK8KTWE,11,5,N/A,11,,https://www.youtube.com/shorts/e27SAK8KTWE
e27SAK8KTWE,11,5,N/A,11,,https://www.youtube.com/shorts/e27SAK8KTWE
iJ2iNVPnToA,12,4,N/A,15,,https://www.youtube.com/shorts/iJ2iNVPnToA
q77Z8kwzzxU,10,3,N/A,12,"Hey, Here are my UPI detailsName - Anand KushwahUPI Handle - 9340727602@paytmPay me on Paytm - https://p.paytm.me/xCTH/47094f7b#VALORANT #valorant #valoranti...",https://www.youtube.com/shorts/q77Z8kwzzxU
83TwG9cFS5g,54,10,N/A,30,"Hey, Here are my UPI detailsName - Anand KushwahUPI Handle - 9340727602@paytmPay me on Paytm - https://p.paytm.me/xCTH/47094f7b#VALORANT #valorant #valoranti...",https://www.youtube.com/shorts/83TwG9cFS5g
HpTFvwk86pA,29,N/A,N/A,57,,https://www.youtube.com/shorts/HpTFvwk86pA
ua_b9-5S7ys,478,12,N/A,27,,https://www.youtube.com/shorts/ua_b9-5S7ys
Ya5-F8DQFgI,0,N/A,N/A,37,Counter strike.! #Shorts#Couterstrikeshorts#gameshorts#Ali#Counterstrike#counterstrikehighlight,https://www.youtube.com/shorts/Ya5-F8DQFgI
dG4qssl_gQE,573,13,N/A,60,,https://www.youtube.com/shorts/dG4qssl_gQE
tWQt951J6ew,330,7,N/A,39,,https://www.youtube.com/shorts/tWQt951J6ew
gUJ2YsjmzhM,462,6,N/A,44,kiss me :3,https://www.youtube.com/shorts/gUJ2YsjmzhM
o8u4W-PcoZ8,449,10,N/A,35,this was the first round for us,https://www.youtube.com/shorts/o8u4W-PcoZ8
mb47_F9DWOE,38,2,N/A,27,awp 4 kills,https://www.youtube.com/shorts/mb47_F9DWOE
y1wWyUg-rnA,48,6,N/A,43,"I hope you all enjoyed this video. Don't forget to Comment, Like, And Subscribe, For more uploads/ short form streams!---------------------------------------...",https://www.youtube.com/shorts/y1wWyUg-rnA
HE_7U3jwjB8,67,7,N/A,28,"I hope you all enjoyed this video. Don't forget to Comment, Like, And Subscribe, For more uploads/ short form streams!---------------------------------------...",https://www.youtube.com/shorts/HE_7U3jwjB8
F6NH4-ZRIow,64,2,N/A,36,,https://www.youtube.com/shorts/F6NH4-ZRIow
HdNXWTUdf8I,14,3,N/A,20,,https://www.youtube.com/shorts/HdNXWTUdf8I
IIBlcvdcTb0,30,3,N/A,40,ACE with AUG Gun in Anubis map #democs2 #anubis  #csgo #cs2 #counterstrike #gaming #shorts,https://www.youtube.com/shorts/IIBlcvdcTb0
TLa1XXP2fH0,456,6,N/A,32,,https://www.youtube.com/shorts/TLa1XXP2fH0
3ckop2c_46M,65,3,N/A,19,,https://www.youtube.com/shorts/3ckop2c_46M
